id,wenzitext,errortext,clicktimes,tips1,tips2
1,大厦将颠，非一木所支也,5,3,王通《文中子·事君》,高楼大厦要倒下来，一根木头不能支撑得住
2,寒鸦飞数点，流水绕孤村,5,3,杨广《野望》,寒鸦点点，上下翻飞，流水潺潺，环绕孤村
3,譬如辽东死，斩头何所伤,5,3,隋朝农民起义的诗句,千里迢迢到辽东送死，还不如被砍头痛快
4,曾经沧海难为水，除却巫山不是云,7,3,元稹《离思五首·其四》,经历过波澜壮阔的大海，别处的水不值得一观
5,入我相思门，知我相思苦,5,3,李白《三五七言》,第一句是：入我相思门
6,玲珑骰子安红豆，入骨相思知不知,7,3,温庭筠《新添声杨柳枝词二首》,玲珑骰子镶嵌着红豆，入骨的思念你可知道
7,云想衣裳花想容，春风拂槛露华浓,7,3,李白《清平调·其一》,第一句是：云想衣裳花想容
8,君埋泉下泥销骨，我寄人间雪满头,7,3,白居易《梦微之》,第一句是：君埋泉下泥销骨
9,春风得意马蹄疾，一日看尽长安花,7,3,孟郊《登科后》,第一句是：春风得意马蹄疾
10,身无彩凤双飞翼，心有灵犀一点通,7,3,李商隐《无题二首·其一》,第一句是：身无彩凤双飞翼
11,去年今日此门中，人面桃花相映红,7,3,崔护《题都城南庄》,第一句是：去年今日此门中
12,世间无限丹青手，一片伤心画不成,7,3,高蟾《金陵晚望》,第一句是：世间无限丹青手
13,仰天大笑出门去，我辈岂是蓬蒿人,7,3,李白《南陵别儿童入京》,第一句是：仰天大笑出门去
14,人面不知何处去，桃花依旧笑春风,7,3,崔护《题都城南庄》,第一句是：人面不知何处去
15,抽刀断水水更流，举杯消愁愁更愁,7,3,李白《宣州谢朓楼饯别校书叔云》,第一句是：抽刀断水水更流
16,今人不见古时月，今月曾经照古人,7,3,李白《把酒问月·故人贾淳令予问之》,第一句是：今人不见古时月
17,行到水穷处，坐看云起时,5,3,王维《终南别业》,第一句是：行到水穷处
18,青山一道同云雨，明月何曾是两乡,7,3,王昌龄《送柴侍御》,第一句是：青山一道同云雨
19,浮云一别后，流水十年间,5,3,韦应物《淮上喜会梁州故人》,第一句是：浮云一别后
20,时人不识凌云木，直待凌云始道高,7,3,杜荀鹤《小松》,第一句是：时人不识凌云木
21,劝君莫惜金缕衣，劝君惜取少年时,7,3,佚名《金缕衣》,第一句是：劝君莫惜金缕衣
22,此情可待成追忆，只是当时已惘然,7,3,李商隐《锦瑟》,第一句是：此情可待成追忆
23,黄沙百战穿金甲，不破楼兰终不还,7,3,王昌龄《从军行七首·其四》,第一句是：黄沙百战穿金甲
24,取次花丛懒回顾，半缘修道半缘君,7,3,元稹《离思五首·其四》,第一句是：取次花丛懒回顾
25,菩提本无树，明镜亦非台,5,3,惠能《菩提偈》,原本就没有菩提树，也没有明镜台
26,大鹏一日同风起，扶摇直上九万里,7,3,李白《上李邕》,原本就没有菩提树，也没有明镜台
27,山不在高，有仙则名,4,3,刘禹锡《陋室铭》,山不在于有多高峻，有了神仙就会有名气
28,男儿何不带吴钩，收取关山五十州,7,3,李贺《南园十三首·其五》,第一句是：男儿何不带吴钩
29,待到秋来九月八，我花开后百花杀,7,3,黄巢《不第后赋菊》,第一句是：待到秋来九月八
30,我有一瓢酒，可以慰风尘,5,3,韦应物《简卢陟》,第一句是：我有一瓢酒
31,溪云初起日沉阁，山雨欲来风满楼,7,3,许浑《咸阳城东楼》,第一句是：溪云初起日沉阁
32,直道相思了无益，未妨惆怅是清狂,7,3,李商隐《无题·重帏深下莫愁堂》,第一句是：直道相思了无益
33,凤凰台上凤凰游，凤去台空江自流,7,3,李白《登金陵凤凰台》,第一句是：凤凰台上凤凰游
34,不经一番寒彻骨，怎得梅花扑鼻香,7,3,黄櫱禅师《上堂开示颂》,第一句是：不经一番寒彻骨
35,思悠悠，恨悠悠，恨到归时方始休,7,3,白居易《长相思·汴水流》,思念呀，怨恨呀，哪里才是尽头
36,二十四桥明月夜，玉人何处教吹箫？,8,3,杜牧《寄扬州韩绰判官》,第一句是：二十四桥明月夜
